complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0068,C0166,O00743,Damage,App,Low,13/02/2024 1:34,Resolved,10,0
CP0069,C0583,O00163,Delay,Chatbot,Medium,20/06/2025 18:36,Resolved,4,35.96
CP0070,C0255,O00206,Delay,Phone,Medium,20/12/2025 14:25,Escalated,7,28.5
CP0071,C0092,O00870,Delay,Chatbot,Medium,05/11/2024 14:16,AwaitingCustomer,10,17.48
CP0072,C0495,O00581,Billing,App,Medium,10/12/2025 5:52,Open,9,20.18
CP0073,C0331,O00073,Delay,App,Medium,07/04/2025 4:59,AwaitingCustomer,12,0
CP0074,C0475,O00268,Delay,Chatbot,High,30/01/2024 6:20,Resolved,7,18.405
CP0075,C0071,O00974,Delay,Phone,Low,22/06/2025 0:41,Resolved,1,7.08
CP0076,C0028,O00290,MissedPickup,Chatbot,Low,26/09/2024 22:30,Open,15,0
CP0077,C0573,O00031,Billing,Email,High,02/11/2024 3:17,Resolved,13,58.46
CP0078,C0261,O01162,AppIssue,Email,Low,09/06/2025 10:51,AwaitingCustomer,1,18.23
CP0079,C0498,O00475,Delay,Chatbot,Medium,11/11/2024 6:08,Resolved,1,0
CP0080,C0201,O00789,DriverBehaviour,App,Medium,20/12/2024 10:30,Resolved,6,18.79
CP0081,C0051,O01085,Delay,App,Medium,25/06/2024 8:05,Open,1,19.53
CP0082,C0578,O00515,Delay,App,Medium,06/02/2024 10:24,Escalated,7,10.81
CP0083,C0586,O00098,DriverBehaviour,Email,Medium,03/04/2024 20:18,Escalated,5,3.16
CP0084,C0647,O00272,DriverBehaviour,Chatbot,Medium,16/12/2024 5:03,Resolved,9,27.67
CP0085,C0622,O00190,Delay,Phone,Low,05/01/2025 6:44,Escalated,17,18.19
CP0086,C0627,O00496,SupportExperience,Phone,Medium,25/06/2024 15:14,Resolved,7,33.83
CP0087,C0321,O01020,MissedPickup,Phone,Low,03/11/2024 2:18,Resolved,6,13.46
CP0088,C0180,O00285,DriverBehaviour,Phone,High,13/01/2025 13:22,Resolved,10,14.63
CP0089,C0296,O01224,AppIssue,Email,Low,12/06/2024 12:40,Resolved,11,0
CP0090,C0123,O00333,MissedPickup,Phone,Medium,06/04/2025 5:27,Resolved,6,24.95
CP0091,C0331,O00652,Delay,Phone,Medium,13/11/2024 21:45,Resolved,4,18.405
CP0092,C0031,O00263,DriverBehaviour,Email,High,02/03/2024 2:04,Escalated,12,46.65
CP0093,C0436,O00832,Delay,App,Medium,11/06/2024 14:01,Resolved,2,16.98
CP0094,C0426,O00400,Billing,Chatbot,Low,01/07/2025 6:33,Resolved,12,10.94
CP0095,C0649,O01240,AppIssue,Chatbot,High,11/10/2025 14:51,Resolved,12,34.13
CP0096,C0001,O00007,AppIssue,App,High,12/05/2024 21:32,Resolved,22,43.9
CP0097,C0282,O01227,DriverBehaviour,App,Medium,07/11/2024 10:32,Escalated,15,27.94
CP0098,C0482,O00335,MissedPickup,App,Medium,31/01/2024 3:09,Resolved,18,31.16
CP0099,C0110,O00574,AppIssue,Email,Medium,04/05/2024 2:42,AwaitingCustomer,14,11.53
CP0100,C0078,O00476,Damage,Phone,High,28/02/2024 6:34,AwaitingCustomer,25,42.71
CP0101,C0119,O00511,DriverBehaviour,Phone,Medium,17/06/2024 9:58,Resolved,8,0
CP0102,C0095,O00843,Delay,Chatbot,Medium,08/03/2024 21:34,Resolved,6,14.27
CP0103,C0378,O00443,AppIssue,Chatbot,Low,23/10/2025 0:06,Resolved,11,11.6
CP0104,C0257,O00602,AppIssue,App,Medium,15/12/2025 9:57,Resolved,1,0
CP0105,C0538,O00129,MissedPickup,Chatbot,Medium,19/12/2024 2:28,Resolved,10,30.85
CP0106,C0595,O00145,AppIssue,Chatbot,Medium,10/11/2024 10:33,Resolved,6,11.23
CP0107,C0396,O01024,Delay,Email,High,23/12/2025 16:37,Escalated,7,33.22
CP0108,C0595,O00561,Delay,Chatbot,Medium,02/06/2025 8:23,Resolved,1,13.57
CP0109,C0626,O00314,MissedPickup,Email,High,22/02/2025 21:55,Resolved,9,34.05
CP0110,C0564,O00950,AppIssue,Phone,Medium,29/05/2025 2:25,AwaitingCustomer,8,12.12
CP0111,C0051,O00112,AppIssue,Chatbot,Medium,17/09/2024 7:03,Resolved,5,12.4
CP0112,C0421,O00586,MissedPickup,App,High,09/04/2024 7:09,AwaitingCustomer,7,45.85
CP0113,C0174,O00227,MissedPickup,App,Low,13/08/2025 20:06,Resolved,5,5.7
CP0114,C0480,O01104,MissedPickup,Phone,Medium,27/09/2024 16:27,Open,5,0
CP0115,C0369,O00709,MissedPickup,Phone,Medium,14/12/2025 3:49,Open,1,32.02
CP0116,C0287,O00178,Damage,App,Low,31/03/2024 19:55,Escalated,3,18.49
CP0117,C0560,O00831,Delay,Phone,High,07/03/2025 8:02,Resolved,11,35.62
CP0118,C0272,O00541,Delay,Chatbot,Low,11/11/2024 2:46,AwaitingCustomer,3,10.75
CP0119,C0142,O00795,Delay,Email,Medium,22/06/2025 13:49,AwaitingCustomer,12,18.405
CP0120,C0558,O00005,MissedPickup,Phone,Medium,25/02/2025 19:32,Resolved,8,54.41
CP0121,C0421,O00219,Billing,Phone,Medium,05/06/2024 23:42,Resolved,9,27.42
CP0122,C0619,O00919,AppIssue,Email,High,09/02/2025 7:06,AwaitingCustomer,9,35.13
CP0123,C0361,O01222,DriverBehaviour,App,High,20/09/2025 1:14,Resolved,23,33.77
CP0124,C0077,O00023,SupportExperience,Phone,Low,16/10/2025 4:59,Resolved,7,0
CP0125,C0647,O01036,AppIssue,App,Low,06/03/2024 19:43,Resolved,2,3.4
CP0126,C0093,O00369,Delay,App,Medium,04/10/2024 12:27,Open,15,12.62
CP0127,C0368,O00737,AppIssue,App,Medium,17/03/2024 3:53,Resolved,6,1.15
CP0128,C0142,O00795,MissedPickup,Email,Medium,17/06/2025 13:49,Escalated,6,16.5
CP0129,C0476,O00686,Delay,Phone,Medium,13/01/2025 12:20,Resolved,4,21.23
CP0130,C0581,O00618,Delay,Email,High,27/11/2025 10:42,AwaitingCustomer,12,24.38
CP0131,C0583,O00452,Delay,Email,High,09/12/2025 9:35,Open,14,32.48
CP0132,C0552,O00368,AppIssue,Phone,High,10/12/2024 22:26,Resolved,6,41.06
CP0133,C0480,O01104,Delay,App,High,21/09/2024 16:27,Open,15,38.76
CP0134,C0325,O00167,Delay,Phone,Low,29/04/2024 20:46,Resolved,6,21.16
CP0135,C0610,O00782,Delay,App,Medium,28/04/2024 1:47,Escalated,12,21.82
CP0136,C0412,O00711,Delay,Chatbot,Low,15/12/2024 12:25,Resolved,3,0
CP0137,C0549,O00838,DriverBehaviour,App,Medium,04/02/2025 0:04,Resolved,1,14.08
CP0138,C0400,O00296,Damage,Phone,High,18/01/2024 17:30,Escalated,6,31.84
CP0139,C0368,O00750,SupportExperience,Phone,High,05/02/2024 7:49,Resolved,16,46.47
CP0140,C0177,O00062,MissedPickup,Email,High,01/08/2025 8:11,Resolved,11,61.45
CP0141,C0591,O01046,DriverBehaviour,App,Medium,07/01/2026 11:24,Resolved,6,11.71
CP0142,C0476,O00087,AppIssue,Chatbot,Low,19/11/2024 14:07,Resolved,3,8.27
CP0143,C0508,O00717,SupportExperience,Phone,Medium,18/12/2024 21:04,Open,3,16.43
CP0144,C0078,O01121,Delay,Chatbot,High,14/06/2024 5:59,Resolved,10,58.9
CP0145,C0436,O01065,AppIssue,Email,Low,25/07/2024 11:49,Resolved,3,21.27
CP0146,C0001,O00666,Delay,Phone,Medium,01/09/2025 20:17,Resolved,4,0
CP0147,C0383,O01172,DriverBehaviour,Phone,High,29/09/2024 19:02,Open,15,33.52
CP0148,C0189,O01232,Damage,Phone,Medium,22/01/2024 20:35,Escalated,9,11
CP0149,C0550,O00425,AppIssue,Phone,Medium,27/11/2024 8:15,Resolved,10,38.03
CP0150,C0546,O00458,Damage,App,High,18/04/2025 1:52,Escalated,16,15.85
CP0151,C0574,O00729,MissedPickup,Phone,Medium,02/01/2026 22:24,Resolved,1,18.405
CP0152,C0023,O01101,Delay,App,Low,16/01/2024 6:59,Resolved,14,27.41
CP0153,C0119,O00511,DriverBehaviour,Chatbot,Medium,18/06/2024 9:58,Resolved,8,20.06
CP0154,C0630,O00282,Delay,App,Medium,28/01/2024 4:13,Open,7,18.405
CP0155,C0613,O00999,AppIssue,Email,Medium,05/07/2024 10:26,Escalated,6,18.06
CP0156,C0372,O00943,AppIssue,Chatbot,Medium,01/05/2025 8:55,Resolved,1,0
CP0157,C0169,O00998,AppIssue,App,Low,06/12/2024 1:26,AwaitingCustomer,2,31.26
CP0158,C0110,O01131,Delay,App,Low,20/08/2024 14:20,Resolved,2,0
CP0159,C0372,O00348,Delay,App,High,16/03/2025 22:06,Escalated,15,34.82
CP0160,C0248,O01134,Delay,Phone,Medium,12/04/2025 23:59,AwaitingCustomer,9,25.69
CP0161,C0107,O01080,Billing,Email,High,01/05/2025 10:04,Open,9,46.94
CP0162,C0138,O00801,MissedPickup,Phone,Medium,02/04/2024 14:49,AwaitingCustomer,6,22.27
CP0163,C0326,O00045,Billing,App,Medium,19/02/2024 18:38,Open,3,11.17
CP0164,C0062,O00468,Delay,Chatbot,Medium,01/04/2024 10:24,Resolved,13,3
CP0165,C0161,O00003,AppIssue,Phone,Medium,07/09/2025 14:37,Open,2,8.66
CP0166,C0465,O00910,DriverBehaviour,Phone,Medium,01/08/2025 3:46,Open,11,18.57
CP0167,C0578,O00837,Damage,Chatbot,Low,26/04/2024 16:50,Resolved,1,11.75
CP0168,C0628,O00752,DriverBehaviour,Email,Medium,01/06/2025 8:27,Resolved,10,30.4
CP0169,C0419,O00879,MissedPickup,App,Medium,08/07/2025 0:21,Resolved,9,11.78
CP0170,C0242,O00512,DriverBehaviour,App,High,01/10/2024 10:35,Resolved,16,54.34
CP0171,C0020,O00880,AppIssue,Phone,Medium,30/08/2024 17:56,Escalated,14,18.37
CP0172,C0629,O00216,Delay,App,Low,20/05/2025 10:14,Resolved,11,0
CP0173,C0212,O00544,Delay,App,Medium,25/06/2024 19:25,Resolved,3,52.43
CP0174,C0116,O00594,DriverBehaviour,Chatbot,High,16/03/2024 19:40,Open,9,18.405
CP0175,C0317,O00551,Damage,Phone,Low,19/06/2024 11:10,Escalated,11,11.99
CP0176,C0073,O00309,Delay,Chatbot,Medium,20/10/2025 11:57,Resolved,6,36.04
CP0177,C0046,O00839,Delay,Chatbot,Low,09/02/2024 17:41,Resolved,2,14.06
CP0178,C0279,O01244,Delay,Phone,High,14/03/2025 6:32,Resolved,10,18.405
CP0179,C0509,O00441,AppIssue,App,Low,12/04/2025 12:25,Resolved,1,16.17
CP0180,C0485,O00378,Damage,Chatbot,High,07/04/2024 19:50,Escalated,18,38.34
CP0181,C0384,O00965,SupportExperience,Chatbot,Medium,04/10/2024 14:59,Open,3,31.97
CP0182,C0012,O01157,AppIssue,Phone,Low,09/07/2024 19:51,Open,12,15.45
CP0183,C0122,O00259,SupportExperience,Chatbot,Medium,13/09/2025 9:55,Escalated,4,20.4
CP0184,C0025,O00161,MissedPickup,Phone,Medium,20/08/2024 17:36,Open,3,19.47
CP0185,C0100,O01151,MissedPickup,Email,Medium,03/07/2024 12:48,Resolved,6,5.59
CP0186,C0391,O00817,Delay,App,Medium,02/01/2026 7:45,AwaitingCustomer,13,13.55
CP0187,C0259,O00351,Delay,Email,Low,27/04/2024 3:31,Escalated,10,1.93
CP0188,C0139,O00404,Billing,Phone,Low,19/10/2025 20:55,Resolved,7,8.19
CP0189,C0517,O00166,Delay,Chatbot,Medium,08/06/2025 17:32,Resolved,9,19.84
CP0190,C0138,O00801,Damage,App,Low,31/03/2024 14:49,AwaitingCustomer,6,7.16
CP0191,C0358,O00840,Delay,Phone,Medium,07/04/2024 16:35,Open,11,14.02
CP0192,C0032,O00440,AppIssue,Email,Medium,15/12/2024 2:05,Resolved,2,18.72
CP0193,C0612,O00467,Delay,Phone,Medium,13/10/2024 16:16,AwaitingCustomer,1,15.83
CP0194,C0172,O00330,MissedPickup,App,Medium,11/04/2025 6:37,Resolved,1,6.47
CP0195,C0110,O01131,Delay,Phone,High,18/08/2024 14:20,Open,8,32.61
CP0196,C0505,O01135,Damage,Phone,Medium,20/11/2024 19:03,Resolved,12,22.87
CP0197,C0611,O00128,Delay,Phone,Medium,04/01/2026 13:56,AwaitingCustomer,9,0
CP0198,C0621,O00609,Delay,Phone,Medium,17/09/2024 7:15,Resolved,2,8.38
CP0199,C0180,O01018,DriverBehaviour,App,High,04/03/2024 13:58,AwaitingCustomer,13,25.05
CP0200,C0256,O00267,DriverBehaviour,Phone,Medium,28/01/2024 20:20,AwaitingCustomer,1,8.85
CP0201,C0168,O00485,Delay,Chatbot,Medium,01/12/2024 1:17,Resolved,13,24.03
CP0202,C0422,O00529,MissedPickup,Phone,Medium,21/08/2025 17:48,Resolved,7,6.73
CP0203,C0279,O01030,DriverBehaviour,Phone,Medium,10/09/2025 8:36,Resolved,4,12.46
CP0204,C0140,O00720,Delay,Chatbot,Medium,30/08/2024 18:27,Open,4,0
CP0205,C0104,O01005,MissedPickup,App,Medium,11/05/2025 17:35,AwaitingCustomer,5,20.67
CP0206,C0627,O01119,DriverBehaviour,App,Medium,08/04/2024 9:03,Resolved,1,13.45
CP0207,C0173,O00792,AppIssue,Email,Low,08/02/2025 6:22,AwaitingCustomer,12,18.405
CP0208,C0510,O01125,AppIssue,Phone,High,26/06/2025 11:43,AwaitingCustomer,20,26.22
CP0209,C0447,O00171,MissedPickup,Email,Low,08/05/2025 2:08,Escalated,7,9
CP0210,C0335,O00229,MissedPickup,Chatbot,Medium,11/09/2024 4:43,Resolved,10,28.12
CP0211,C0191,O00125,Delay,App,Low,18/09/2025 16:27,Resolved,11,13.79
CP0212,C0095,O01064,MissedPickup,App,Medium,27/12/2025 18:49,Resolved,3,19.18
CP0213,C0368,O00629,Delay,Email,Medium,11/10/2024 5:44,AwaitingCustomer,3,22.87
CP0214,C0145,O00048,MissedPickup,App,High,27/11/2024 6:49,Resolved,12,61.85
CP0215,C0533,O00927,SupportExperience,Chatbot,High,17/05/2025 3:53,Resolved,15,29.11
CP0216,C0084,O00644,Delay,App,Medium,04/11/2025 8:47,Resolved,4,32.45
CP0217,C0571,O00941,DriverBehaviour,Phone,Medium,18/08/2024 12:54,Resolved,1,6.19
CP0218,C0171,O01039,MissedPickup,App,Medium,13/05/2025 10:43,Resolved,7,19.7
CP0219,C0232,O00540,Delay,Phone,Medium,03/07/2024 3:50,Resolved,6,22.23
CP0220,C0097,O00254,AppIssue,Email,Low,25/09/2024 17:01,AwaitingCustomer,1,8.94
CP0221,C0032,O01034,Delay,Email,Low,24/06/2025 8:43,Resolved,11,8.34
CP0222,C0282,O00751,Delay,Email,Low,01/07/2024 0:51,Resolved,4,4.39
CP0223,C0529,O01136,Delay,App,Low,25/04/2024 14:05,Resolved,6,2.44
CP0224,C0564,O00950,Delay,Chatbot,Low,22/05/2025 2:25,Resolved,14,25.81
CP0225,C0531,O00082,MissedPickup,Phone,Medium,30/07/2024 3:44,Open,11,20.66
CP0226,C0292,O01129,Delay,Chatbot,Low,26/03/2025 15:04,Resolved,1,6.68
CP0227,C0026,O00621,DriverBehaviour,Phone,Medium,17/05/2025 19:01,Resolved,8,9.16
CP0228,C0242,O00920,Delay,Email,Medium,02/08/2024 11:42,Open,8,8.1
CP0229,C0272,O00541,MissedPickup,Chatbot,Low,11/11/2024 2:46,Escalated,11,4.1
CP0230,C0054,O00445,AppIssue,App,Low,26/04/2025 22:53,Open,12,0
CP0231,C0639,O00774,MissedPickup,Phone,Low,22/09/2025 23:01,Open,1,20.06
CP0232,C0539,O00520,Delay,Email,Low,12/07/2024 13:21,Resolved,7,8.32
CP0233,C0339,O00884,MissedPickup,Email,Medium,24/04/2024 1:52,Resolved,3,10.05
CP0234,C0140,O00720,Billing,App,High,31/08/2024 18:27,Resolved,16,52.03
CP0235,C0611,O00632,Delay,Chatbot,Medium,09/08/2024 21:40,Resolved,3,32.8
CP0236,C0029,O00430,AppIssue,Phone,Medium,17/01/2025 1:45,Resolved,11,7.71
CP0237,C0508,O01171,DriverBehaviour,App,Medium,21/12/2024 0:50,Resolved,8,14.83
CP0238,C0014,O00731,MissedPickup,Phone,Medium,14/03/2024 19:38,Open,3,36.85
CP0239,C0213,O00931,MissedPickup,App,High,11/03/2024 9:00,Resolved,20,27.41
CP0240,C0428,O00220,DriverBehaviour,Chatbot,Medium,31/05/2024 8:24,Open,7,0
CP0241,C0351,O00989,Delay,Phone,High,17/03/2024 12:01,Resolved,14,42.27
CP0242,C0345,O01211,AppIssue,Chatbot,Low,18/11/2025 7:13,Open,7,2.97
CP0243,C0390,O00736,DriverBehaviour,Chatbot,Medium,26/01/2024 22:33,Escalated,3,23.87
CP0244,C0575,O01168,MissedPickup,Chatbot,Low,21/12/2024 21:12,Open,1,6.72
CP0245,C0646,O00385,AppIssue,Phone,High,02/11/2025 15:32,Resolved,17,16.36
CP0246,C0343,O00307,DriverBehaviour,Email,Medium,04/01/2025 22:15,Resolved,3,15.88
CP0247,C0269,O00573,AppIssue,Email,Medium,30/04/2024 9:36,Resolved,3,14.92
CP0248,C0452,O00116,Billing,Phone,Low,16/03/2025 15:46,Open,5,1.45
CP0249,C0074,O00824,DriverBehaviour,Email,Low,21/08/2024 20:47,Open,5,10.32
CP0250,C0626,O00948,Delay,Email,Medium,17/05/2025 3:07,Escalated,1,0
CP0251,C0399,O00169,Delay,Chatbot,Low,04/12/2025 12:34,Resolved,4,0
CP0252,C0142,O00795,MissedPickup,Email,High,19/06/2025 13:49,Resolved,13,42.64
CP0253,C0567,O00012,AppIssue,App,Medium,25/01/2024 12:45,Resolved,13,22.73
CP0254,C0072,O00626,SupportExperience,Chatbot,Low,06/01/2025 12:54,AwaitingCustomer,1,7.49
CP0255,C0004,O01153,Delay,Phone,Low,18/01/2025 3:57,Escalated,3,0
CP0256,C0191,O00125,AppIssue,App,Medium,21/09/2025 16:27,Resolved,3,24.06
CP0257,C0381,O00271,DriverBehaviour,Phone,Low,25/09/2025 21:51,Open,2,10.53
CP0258,C0013,O00531,SupportExperience,App,Medium,06/05/2025 8:49,Open,16,9.98
CP0259,C0545,O00959,AppIssue,App,Medium,13/08/2024 18:39,AwaitingCustomer,12,14.36
CP0260,C0250,O00231,MissedPickup,Chatbot,High,15/12/2024 23:23,Resolved,5,24.73
CP0261,C0566,O00249,AppIssue,Email,High,10/11/2024 18:22,Open,18,47.09
CP0262,C0491,O00438,AppIssue,Chatbot,Low,06/01/2026 18:23,Resolved,8,29.25
CP0263,C0561,O00270,Delay,Phone,Medium,07/11/2025 15:25,AwaitingCustomer,3,27.52
CP0264,C0054,O01063,MissedPickup,Email,Medium,01/08/2024 20:15,Escalated,1,12.41
CP0265,C0115,O00336,DriverBehaviour,Chatbot,Low,10/01/2024 4:58,Escalated,7,14.36
CP0266,C0544,O00050,Damage,App,High,30/03/2024 13:44,Open,15,38.9
CP0267,C0521,O00111,DriverBehaviour,App,Medium,25/07/2025 11:53,AwaitingCustomer,3,15.26
CP0268,C0445,O00675,AppIssue,App,Medium,27/02/2024 17:22,Open,14,37.15
CP0269,C0172,O00330,SupportExperience,Email,Medium,20/04/2025 6:37,Resolved,3,17.96
CP0270,C0208,O00636,Billing,Email,Medium,30/06/2024 7:22,Resolved,6,23.97
CP0271,C0573,O00393,Delay,Chatbot,High,08/10/2025 17:42,Resolved,18,33.09
CP0272,C0208,O00771,Delay,App,Medium,29/07/2025 22:53,Resolved,10,12.97
CP0273,C0010,O00481,Delay,Phone,Medium,20/04/2025 22:35,Resolved,10,15.73
CP0274,C0622,O00190,SupportExperience,App,Medium,01/01/2025 6:44,AwaitingCustomer,7,0
CP0275,C0109,O00071,MissedPickup,App,Medium,03/09/2024 22:15,AwaitingCustomer,10,18.13
CP0276,C0015,O01124,AppIssue,Phone,High,14/05/2024 16:45,Resolved,12,19.46
CP0277,C0444,O01088,MissedPickup,App,High,05/12/2024 10:32,AwaitingCustomer,7,46.17
CP0278,C0285,O00483,MissedPickup,Phone,Medium,27/11/2024 0:34,Escalated,7,12.14
CP0279,C0573,O00031,Billing,App,Medium,27/10/2024 3:17,Resolved,1,19.87
CP0280,C0369,O00753,DriverBehaviour,Email,Medium,18/01/2025 2:40,Resolved,6,3.44
CP0281,C0510,O01125,MissedPickup,Chatbot,High,25/06/2025 11:43,Resolved,11,44.57
CP0282,C0335,O00601,DriverBehaviour,Email,Medium,03/06/2025 4:16,Escalated,4,18.1
CP0283,C0252,O00401,DriverBehaviour,Email,High,30/06/2024 11:15,Open,11,61.11
CP0284,C0211,O00545,AppIssue,Phone,Medium,22/04/2025 1:02,Resolved,9,32.59
CP0285,C0172,O00773,MissedPickup,App,High,25/01/2024 23:46,Resolved,12,37.06
CP0286,C0015,O00873,DriverBehaviour,App,High,05/12/2024 12:06,Resolved,10,18.405
CP0287,C0405,O00971,DriverBehaviour,Phone,High,27/12/2025 15:30,Open,20,18.405
CP0288,C0459,O01202,Delay,Phone,Medium,14/11/2024 15:24,Escalated,5,20.75
CP0289,C0532,O01012,MissedPickup,App,Medium,14/03/2025 5:05,Resolved,1,25.56
CP0290,C0259,O00351,SupportExperience,App,Medium,03/05/2024 3:31,Resolved,6,18.82
